cand_name id desc_x Output
c0 0 -2.0 NA
c1 1 -1.99 NA
c2 2 -1.98 NA
c3 3 -1.97 NA
c4 4 -1.96 NA
c5 5 -1.95 NA
c6 6 -1.94 NA
c7 7 -1.93 NA
c8 8 -1.92 NA
c9 9 -1.91 NA
c10 10 -1.9 NA
c11 11 -1.89 NA
c12 12 -1.88 NA
c13 13 -1.87 NA
c14 14 -1.86 NA
c15 15 -1.85 NA
c16 16 -1.84 NA
c17 17 -1.83 NA
c18 18 -1.82 NA
c19 19 -1.81 NA
c20 20 -1.8 NA
c21 21 -1.79 NA
c22 22 -1.78 NA
c23 23 -1.77 NA
c24 24 -1.76 NA
c25 25 -1.75 NA
c26 26 -1.74 NA
c27 27 -1.73 NA
c28 28 -1.72 NA
c29 29 -1.71 NA
c30 30 -1.7 NA
c31 31 -1.69 NA
c32 32 -1.68 NA
c33 33 -1.67 NA
c34 34 -1.66 NA
c35 35 -1.65 NA
c36 36 -1.64 NA
c37 37 -1.63 NA
c38 38 -1.62 NA
c39 39 -1.61 NA
c40 40 -1.6 NA
c41 41 -1.59 NA
c42 42 -1.58 NA
c43 43 -1.57 NA
c44 44 -1.56 NA
c45 45 -1.55 NA
c46 46 -1.54 NA
c47 47 -1.53 NA
c48 48 -1.52 NA
c49 49 -1.51 NA
c50 50 -1.5 NA
c51 51 -1.49 NA
c52 52 -1.48 NA
c53 53 -1.47 NA
c54 54 -1.46 NA
c55 55 -1.45 NA
c56 56 -1.44 NA
c57 57 -1.43 NA
c58 58 -1.42 NA
c59 59 -1.41 NA
c60 60 -1.4 NA
c61 61 -1.39 NA
c62 62 -1.38 NA
c63 63 -1.37 NA
c64 64 -1.36 NA
c65 65 -1.35 NA
c66 66 -1.34 NA
c67 67 -1.33 NA
c68 68 -1.32 NA
c69 69 -1.31 NA
c70 70 -1.3 NA
c71 71 -1.29 NA
c72 72 -1.28 NA
c73 73 -1.27 NA
c74 74 -1.26 NA
c75 75 -1.25 NA
c76 76 -1.24 NA
c77 77 -1.23 NA
c78 78 -1.22 NA
c79 79 -1.21 NA
c80 80 -1.2 NA
c81 81 -1.19 NA
c82 82 -1.18 NA
c83 83 -1.17 NA
c84 84 -1.16 NA
c85 85 -1.15 NA
c86 86 -1.14 NA
c87 87 -1.13 NA
c88 88 -1.12 NA
c89 89 -1.11 NA
c90 90 -1.1 NA
c91 91 -1.09 NA
c92 92 -1.08 NA
c93 93 -1.07 NA
c94 94 -1.06 NA
c95 95 -1.05 NA
c96 96 -1.04 NA
c97 97 -1.03 NA
c98 98 -1.02 NA
c99 99 -1.01 NA
c100 100 -1.0 NA
c101 101 -0.99 NA
c102 102 -0.98 NA
c103 103 -0.97 NA
c104 104 -0.96 NA
c105 105 -0.95 NA
c106 106 -0.94 NA
c107 107 -0.93 NA
c108 108 -0.92 NA
c109 109 -0.91 NA
c110 110 -0.9 NA
c111 111 -0.89 NA
c112 112 -0.88 NA
c113 113 -0.87 NA
c114 114 -0.86 NA
c115 115 -0.85 NA
c116 116 -0.84 NA
c117 117 -0.83 NA
c118 118 -0.82 NA
c119 119 -0.81 NA
c120 120 -0.8 NA
c121 121 -0.79 NA
c122 122 -0.78 NA
c123 123 -0.77 NA
c124 124 -0.76 NA
c125 125 -0.75 NA
c126 126 -0.74 NA
c127 127 -0.73 NA
c128 128 -0.72 NA
c129 129 -0.71 NA
c130 130 -0.7 NA
c131 131 -0.69 NA
c132 132 -0.68 NA
c133 133 -0.67 NA
c134 134 -0.66 NA
c135 135 -0.65 NA
c136 136 -0.64 NA
c137 137 -0.63 NA
c138 138 -0.62 NA
c139 139 -0.61 NA
c140 140 -0.6 NA
c141 141 -0.59 NA
c142 142 -0.58 NA
c143 143 -0.57 NA
c144 144 -0.56 NA
c145 145 -0.55 NA
c146 146 -0.54 NA
c147 147 -0.53 NA
c148 148 -0.52 NA
c149 149 -0.51 NA
c150 150 -0.5 NA
c151 151 -0.49 NA
c152 152 -0.48 NA
c153 153 -0.47 NA
c154 154 -0.46 NA
c155 155 -0.45 NA
c156 156 -0.44 NA
c157 157 -0.43 NA
c158 158 -0.42 NA
c159 159 -0.41 NA
c160 160 -0.4 NA
c161 161 -0.39 NA
c162 162 -0.38 NA
c163 163 -0.37 NA
c164 164 -0.36 NA
c165 165 -0.35 NA
c166 166 -0.34 NA
c167 167 -0.33 NA
c168 168 -0.32 NA
c169 169 -0.31 NA
c170 170 -0.3 NA
c171 171 -0.29 NA
c172 172 -0.28 NA
c173 173 -0.27 NA
c174 174 -0.26 NA
c175 175 -0.25 NA
c176 176 -0.24 NA
c177 177 -0.23 NA
c178 178 -0.22 NA
c179 179 -0.21 NA
c180 180 -0.2 NA
c181 181 -0.19 NA
c182 182 -0.18 NA
c183 183 -0.17 NA
c184 184 -0.16 NA
c185 185 -0.15 NA
c186 186 -0.14 NA
c187 187 -0.13 NA
c188 188 -0.12 NA
c189 189 -0.11 NA
c190 190 -0.1 NA
c191 191 -0.09 NA
c192 192 -0.08 NA
c193 193 -0.07 NA
c194 194 -0.06 NA
c195 195 -0.05 NA
c196 196 -0.04 NA
c197 197 -0.03 NA
c198 198 -0.02 NA
c199 199 -0.01 NA
c200 200 0.0 NA
c201 201 0.01 NA
c202 202 0.02 NA
c203 203 0.03 NA
c204 204 0.04 NA
c205 205 0.05 NA
c206 206 0.06 NA
c207 207 0.07 NA
c208 208 0.08 NA
c209 209 0.09 NA
c210 210 0.1 NA
c211 211 0.11 NA
c212 212 0.12 NA
c213 213 0.13 NA
c214 214 0.14 NA
c215 215 0.15 NA
c216 216 0.16 NA
c217 217 0.17 NA
c218 218 0.18 NA
c219 219 0.19 NA
c220 220 0.2 NA
c221 221 0.21 NA
c222 222 0.22 NA
c223 223 0.23 NA
c224 224 0.24 NA
c225 225 0.25 NA
c226 226 0.26 NA
c227 227 0.27 NA
c228 228 0.28 NA
c229 229 0.29 NA
c230 230 0.3 NA
c231 231 0.31 NA
c232 232 0.32 NA
c233 233 0.33 NA
c234 234 0.34 NA
c235 235 0.35 NA
c236 236 0.36 NA
c237 237 0.37 NA
c238 238 0.38 NA
c239 239 0.39 NA
c240 240 0.4 NA
c241 241 0.41 NA
c242 242 0.42 NA
c243 243 0.43 NA
c244 244 0.44 NA
c245 245 0.45 NA
c246 246 0.46 NA
c247 247 0.47 NA
c248 248 0.48 NA
c249 249 0.49 NA
c250 250 0.5 NA
c251 251 0.51 NA
c252 252 0.52 NA
c253 253 0.53 NA
c254 254 0.54 NA
c255 255 0.55 NA
c256 256 0.56 NA
c257 257 0.57 NA
c258 258 0.58 NA
c259 259 0.59 NA
c260 260 0.6 NA
c261 261 0.61 NA
c262 262 0.62 NA
c263 263 0.63 NA
c264 264 0.64 NA
c265 265 0.65 NA
c266 266 0.66 NA
c267 267 0.67 NA
c268 268 0.68 NA
c269 269 0.69 NA
c270 270 0.7 NA
c271 271 0.71 NA
c272 272 0.72 NA
c273 273 0.73 NA
c274 274 0.74 NA
c275 275 0.75 NA
c276 276 0.76 NA
c277 277 0.77 NA
c278 278 0.78 NA
c279 279 0.79 NA
c280 280 0.8 NA
c281 281 0.81 NA
c282 282 0.82 NA
c283 283 0.83 NA
c284 284 0.84 NA
c285 285 0.85 NA
c286 286 0.86 NA
c287 287 0.87 NA
c288 288 0.88 NA
c289 289 0.89 NA
c290 290 0.9 NA
c291 291 0.91 NA
c292 292 0.92 NA
c293 293 0.93 NA
c294 294 0.94 NA
c295 295 0.95 NA
c296 296 0.96 NA
